,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
1091,LA,G2200170,Shreveport Regional Arpt,722480,32.45,-93.82,71109
1092,LA,G2200190,Lake Charles Wb Airp,722404,30.22,-93.17,70602
1093,LA,G2200210,Monroe Regional Ap,722486,32.52,-92.03,71211
1094,LA,G2200230,Lake Charles Regional Arpt,722400,30.12,-93.23,70605
1095,MS,G2200250,Natchez Hardy Awos,722357,31.62,-91.3,39190
1096,AR,G2200270,El Dorado Goodwin Field,723419,33.22,-92.82,
1097,MS,G2200290,Natchez Hardy Awos,722357,31.62,-91.3,39190
1098,LA,G2200310,Shreveport Regional Arpt,722480,32.45,-93.82,71109
1099,LA,G2200330,Baton Rouge Ryan Arpt,722317,30.53,-91.15,70811
1100,MS,G2200350,Greenville Municipal,722356,33.48,-90.98,38782
1101,LA,G2200370,Baton Rouge Metro AP,722320,30.533,-91.15,70811
1102,LA,G2200390,Lafayette Regional Ap,722405,30.2,-91.98,
1103,LA,G2200410,Monroe Regional Ap,722486,32.52,-92.03,71211
1104,LA,G2200430,England Afb,747540,31.32,-92.55,
1105,LA,G2200450,New Iberia Naas,722314,30.03,-91.88,
1106,LA,G2200470,Baton Rouge Ryan Arpt,722317,30.53,-91.15,70811
1107,LA,G2200490,Monroe Regional Ap,722486,32.52,-92.03,71211
1108,LA,G2200510,New Orleans Intl Arpt,722310,30.0,-90.25,70062
1109,LA,G2200530,Lake Charles Wb Airp,722404,30.22,-93.17,70602
1110,LA,G2200550,Lafayette Regional Ap,722405,30.2,-91.98,
1111,LA,G2200570,Houma Terrebonne,722406,29.57,-90.67,70363
1112,LA,G2200590,Alexandria Esler Regional Ap,722487,31.4,-92.3,71360
1113,LA,G2200610,Monroe Regional Ap,722486,32.52,-92.03,71211
1114,LA,G2200630,Baton Rouge Ryan Arpt,722317,30.53,-91.15,70811
1115,MS,G2200650,Natchez Hardy Awos,722357,31.62,-91.3,39190
1116,LA,G2200670,Monroe Regional Ap,722486,32.52,-92.03,71211
1117,LA,G2200690,Fort Polk Aaf,722390,31.05,-93.18,71459
1118,LA,G2200710,New Orleans Lakefront Ap,722315,30.05,-90.03,
1119,LA,G2200730,Monroe Regional Ap,722486,32.52,-92.03,71211
1120,LA,G2200750,New Orleans Alvin Callender F,722316,29.82,-90.02,70037
1121,LA,G2200770,Baton Rouge Metro AP,722320,30.533,-91.15,70811
1122,LA,G2200790,England Afb,747540,31.32,-92.55,
1123,LA,G2200810,Barksdale Afb,722485,32.5,-93.67,71112
1124,LA,G2200830,Monroe Regional Ap,722486,32.52,-92.03,71211
1125,LA,G2200850,Fort Polk Aaf,722390,31.05,-93.18,71459
1126,LA,G2200870,New Orleans Alvin Callender F,722316,29.82,-90.02,70037
1127,LA,G2200890,New Orleans Intl Arpt,722310,30.0,-90.25,70062
